Horizon,MAPE,SMAPE,MAE,RSME,NRMSE,epochs_to_stop,time [seconds],Estimativa Padronizada (50 epocas)
3,24.917695999145508,0.09344105422496796,14.847227096557617,22.695913314819336,0.0978168323636055,32,5394.009821653366,8428.140346333385
6,24.672422409057617,0.09820112586021423,15.638850212097168,24.01929473876953,0.10351818799972534,29,4855.045187711716,8370.7675650202
9,26.23499298095703,0.10047309100627899,16.26458168029785,25.140796661376953,0.10835063457489014,28,4671.056323289871,8341.17200587477
12,25.631715774536133,0.10196898877620697,16.811038970947266,26.028852462768555,0.11217734962701797,27,4503.707633018494,8340.199320404618
