Horizon,MAPE,SMAPE,MAE,RSME,NRMSE,epochs_to_stop,time [seconds],Estimativa Padronizada (50 epocas)
3,25.440818786621094,0.09235818684101105,14.824261665344238,22.64520263671875,0.09759827703237534,31,5514.48015999794,8894.322838706355
6,25.738113403320312,0.09588389098644257,15.590448379516602,24.05974578857422,0.10369252413511276,32,5728.963650226593,8951.505703479052
9,25.220523834228516,0.09764339029788971,15.930459976196289,24.92862892150879,0.10743624716997147,35,6247.878794431686,8925.541134902409
12,25.551523208618164,0.10219923406839371,16.67460823059082,26.079652786254883,0.11239628493785858,35,6260.141174077988,8943.05882011141
