Horizon,MAPE,SMAPE,MAE,RSME,NRMSE,epochs_to_stop,time [seconds],Estimativa Padronizada (50 epocas)
3,25.117084503173828,0.09235730767250061,14.802513122558594,22.641069412231445,0.09758046269416809,27,4701.932909011841,8707.283164836743
6,25.593570709228516,0.09537924081087112,15.549600601196289,24.049530029296875,0.10364849120378494,35,6011.316616296768,8587.59516613824
9,25.557891845703125,0.10131983458995819,16.50851821899414,25.387483596801758,0.10941379517316818,29,4975.712528705597,8578.814704664823
12,25.9032039642334,0.09951366484165192,16.349224090576172,25.57499885559082,0.11022136360406876,38,6496.038602352142,8547.419213621239
